tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0088527	tvSeries	Growing Pains	Growing Pains	0	1985	1992	30	Comedy,Family
tt0098887	tvSeries	Parenthood	Parenthood	0	1990	1991	25	Comedy,Drama
tt0108330	movie	This Boy's Life	This Boy's Life	0	1993	\N	115	Biography,Drama
tt0108550	movie	What's Eating Gilbert Grape	What's Eating Gilbert Grape	0	1993	\N	118	Drama
tt0109820	short	The Foot Shooting Party	The Foot Shooting Party	0	1994	\N	27	Short
tt0112461	movie	The Basketball Diaries	The Basketball Diaries	0	1995	\N	102	Biography,Crime,Drama
tt0114214	movie	The Quick and the Dead	The Quick and the Dead	0	1995	\N	108	Action,Romance,Thriller
tt0114702	movie	Total Eclipse	Total Eclipse	0	1995	\N	111	Biography,Drama,Romance
tt0116999	movie	Marvin's Room	Marvin's Room	0	1996	\N	98	Drama
tt0119004	movie	Don's Plum	Don's Plum	0	2001	\N	89	Comedy,Drama
tt0120338	movie	Titanic	Titanic	0	1997	\N	194	Drama,Romance
tt0120533	movie	Celebrity	Celebrity	0	1998	\N	113	Comedy,Drama
tt0120744	movie	The Man in the Iron Mask	The Man in the Iron Mask	0	1998	\N	132	Action,Adventure,Drama
tt0163978	movie	The Beach	The Beach	0	2000	\N	119	Adventure,Drama,Romance
tt0217505	movie	Gangs of New York	Gangs of New York	0	2002	\N	167	Crime,Drama
tt0264464	movie	Catch Me If You Can	Catch Me If You Can	0	2002	\N	141	Biography,Crime,Drama
tt0338751	movie	The Aviator	The Aviator	0	2004	\N	170	Biography,Drama
tt0407887	movie	The Departed	The Departed	0	2006	\N	151	Crime,Drama,Thriller
tt0450259	movie	Blood Diamond	Blood Diamond	0	2006	\N	143	Adventure,Drama,Thriller
tt0758774	movie	Body of Lies	Body of Lies	0	2008	\N	128	Action,Drama,Thriller
tt0959337	movie	Revolutionary Road	Revolutionary Road	0	2008	\N	119	Drama,Romance
tt0993846	movie	The Wolf of Wall Street	The Wolf of Wall Street	0	2013	\N	180	Biography,Comedy,Crime
tt10257288	video	Street Safe, Street Smart	Street Safe, Street Smart	0	1990	\N	13	Family,Short
tt11286314	movie	Don't Look Up	Don't Look Up	0	2021	\N	138	Comedy,Drama,Sci-Fi
tt11308840	tvEpisode	Episode #1.949	Episode #1.949	0	\N	\N	\N	Romance
tt1343092	movie	The Great Gatsby	The Great Gatsby	0	2013	\N	143	Drama,Romance